CAUSE,DT,AGE,SEX,RACECOLOR,DEATH_COUNT,DEATH_RATE,DEATHS_STANDARDIZED,DEATHS_STANDARDIZED_BR
A09,2021-01-15,"[35.0, 40.0)",Male,Brown,1,0.3191329795212367,0.19736114998221194,0.29426547462347796
A09,2021-08-05,"[0.0, 5.0)",Female,White,1,0.3191329795212367,0.1738765280163652,0.2592499032724005
A09,2021-09-19,"[60.0, 65.0)",Male,Black,1,0.3191329795212367,0.8634550311721771,0.5766152698167799
A09,2022-02-02,"[95.0, 100.0)",Female,White,1,0.3121079144324942,74.3114081982129,1.248431657729977
A09,2022-03-03,"[70.0, 75.0)",Female,White,1,0.3121079144324942,2.064205783283692,0.9449934075872743
A09,2022-07-09,"[0.0, 5.0)",Male,Brown,1,0.3121079144324942,0.1647703064261927,0.25466898561232343
A09,2022-08-04,"[0.0, 5.0)",Female,White,1,0.3121079144324942,0.17004898901192883,0.25354304261678584
A09,2022-11-01,"[65.0, 70.0)",Male,White,1,0.3121079144324942,1.281231175831257,0.6295969998034797
A150,1999-10-07,"[60.0, 65.0)",Male,Brown,1,0.8202167012524709,2.219201031527248,1.4819824488538962
A150,2006-09-10,"[40.0, 45.0)",Male,Brown,1,0.452716070062339,0.3389608191541921,0.4712233307881579
A150,2007-04-07,"[50.0, 55.0)",Female,Brown,1,0.49395156310972144,0.6682245171938872,0.7802189462755826
A150,2007-05-10,"[70.0, 75.0)",Male,White,1,0.49395156310972144,3.178581487192544,1.1614536754201557
A150,2009-06-26,"[25.0, 30.0)",Male,Black,1,0.530096212462562,0.2270024890641324,0.42331424160679415
A150,2015-03-12,"[50.0, 55.0)",Male,Brown,1,0.366668377785763,0.4744673625592171,0.5041690194554241
A150,2016-10-22,"[65.0, 70.0)",Male,Brown,1,0.35732662512149105,1.4668580670011948,0.7208140541243873
A150,2019-05-23,"[20.0, 25.0)",Male,Brown,1,0.334306164271363,0.1384290535285147,0.26279371521853234
A150,2020-08-15,"[30.0, 35.0)",Female,Brown,1,0.32648157337999845,0.1486304167258483,0.26280830285464496
A150,2020-12-07,"[40.0, 45.0)",Male,Brown,1,0.32648157337999845,0.24444562247678828,0.33982830436723116
A150,2021-06-10,"[30.0, 35.0)",Male,Brown,1,0.3191329795212367,0.15896243251705353,0.27039509771150805
A150,2022-03-09,"[40.0, 45.0)",Male,Brown,1,0.3121079144324942,0.23368367357928585,0.32486704300992325
A150,2022-04-24,"[25.0, 30.0)",Male,Brown,1,0.3121079144324942,0.13365361186728938,0.2492372554101213
A152,2020-06-15,"[65.0, 70.0)",Male,Brown,1,0.32648157337999845,1.34023634392446,0.6585921394044797
A153,2002-12-26,"[75.0, 80.0)",Male,,1,0.6205899327901103,6.716341263962232,1.6078920985925582
A153,2013-11-14,"[55.0, 60.0)",Male,White,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A153,2019-09-20,"[35.0, 40.0)",Female,Brown,1,0.334306164271363,0.198495525633157,0.3109630904569038
A153,2022-08-11,"[80.0, 85.0)",Male,White,1,0.3121079144324942,6.7555825634739,0.9930706368306632
A159,2001-04-17,"[85.0, 90.0)",Female,Brown,1,0.6627607963733729,22.54288423038683,2.5563630717258667
A159,2007-03-07,"[65.0, 70.0)",Male,White,1,0.49395156310972144,2.027715776312485,0.9964195324799553
A159,2013-07-21,"[85.0, 90.0)",Male,Black,1,0.38774117501085675,15.386554563922887,1.0339764666956182
A159,2013-12-15,"[55.0, 60.0)",Male,Brown,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A159,2014-08-14,"[40.0, 45.0)",Male,Brown,1,0.37677697440554014,0.28210315543990727,0.3921798066925592
A161,2013-09-13,"[55.0, 60.0)",Male,Black,1,0.38774117501085675,0.6738637035294693,0.5801966487388731
A162,1998-02-27,"[50.0, 55.0)",Male,Brown,1,0.9036035710413127,1.169259279297765,1.242454910181805
A162,1998-03-13,"[45.0, 50.0)",Male,Brown,1,0.9036035710413127,0.8710271554282943,1.0901775877340532
A162,1999-06-10,"[65.0, 70.0)",Male,,1,0.8202167012524709,3.367063634041342,1.6545750697679156
A162,1999-10-24,"[70.0, 75.0)",Female,Brown,1,0.8202167012524709,5.424713632622162,2.4834339010144264
A162,2000-03-14,"[55.0, 60.0)",Male,,1,0.750756387059963,1.3047556257559312,1.1233945937758567
A162,2001-12-24,"[70.0, 75.0)",Male,Brown,1,0.6627607963733729,4.264869989532643,1.558383494175228
A162,2004-09-16,"[45.0, 50.0)",Female,White,1,0.5329382484451527,0.5116534643290637,0.6919601451586257
